manufacturing_batch_id,heat_treatment_temp,tempering_temp,grinding_quality,roundness_error,roughness,equipment_id,manufacturing_risk_score,manufacturing_risk_level
BMAN-00917,811.2,180.8,0.8772,1.189,0.105,EQ-GR-116,0.1846,low
BMAN-00918,845.7,176.1,0.6191,2.211,0.344,EQ-GR-015,0.2506,medium
BMAN-00919,829.2,148.2,0.7065,1.112,0.578,EQ-GR-109,0.364,medium
BMAN-00920,820.6,159.5,0.6595,1.306,0.056,EQ-GR-078,0.2469,low
BMAN-00921,846.0,177.2,0.8924,0.74,0.176,EQ-GR-018,0.157,low
BMAN-00922,876.5,161.2,0.743,3.17,0.979,EQ-GR-118,0.5583,high
BMAN-00923,827.1,174.2,0.6749,1.388,0.135,EQ-GR-020,0.1831,low
BMAN-00924,846.8,199.5,0.3926,0.982,0.346,EQ-GR-057,0.3713,medium
BMAN-00925,822.6,224.0,0.6301,2.176,0.077,EQ-GR-087,0.3689,medium
BMAN-00926,825.4,141.2,0.9165,0.478,0.192,EQ-GR-111,0.2213,low
BMAN-00927,806.6,173.6,0.777,2.204,0.21,EQ-GR-018,0.2425,low
BMAN-00928,855.6,163.1,0.6219,3.128,0.057,EQ-GR-023,0.367,medium
BMAN-00929,814.2,208.1,0.567,0.215,0.38,EQ-GR-018,0.3243,medium
BMAN-00930,836.4,174.0,0.8323,4.685,0.143,EQ-GR-108,0.1872,low
BMAN-00931,802.7,165.8,0.5044,0.278,0.627,EQ-GR-108,0.4035,medium
BMAN-00932,828.8,182.1,0.7174,1.372,0.315,EQ-GR-012,0.2073,low
BMAN-00933,857.9,194.1,0.3515,6.565,0.362,EQ-GR-115,0.5157,high
BMAN-00934,812.6,182.0,0.9711,1.684,1.021,EQ-GR-078,0.3229,medium
BMAN-00935,810.0,176.0,0.8196,2.247,0.202,EQ-GR-063,0.277,medium
BMAN-00936,796.7,195.6,0.8441,5.239,0.438,EQ-GR-038,0.4468,medium
BMAN-00937,842.0,164.6,0.8899,6.846,0.294,EQ-GR-110,0.329,medium
BMAN-00938,886.4,188.0,0.791,1.638,0.26,EQ-GR-095,0.3982,medium
BMAN-00939,825.4,181.7,0.862,3.336,0.369,EQ-GR-087,0.271,medium
BMAN-00940,829.0,196.8,0.8324,1.786,0.171,EQ-GR-040,0.2919,medium
BMAN-00941,810.9,171.3,0.6965,1.79,0.139,EQ-GR-019,0.2848,medium
BMAN-00942,854.3,150.6,0.6518,4.741,0.138,EQ-GR-101,0.3715,medium
BMAN-00943,822.0,172.4,0.8354,0.807,0.795,EQ-GR-058,0.2621,medium
BMAN-00944,809.2,162.9,0.635,2.08,0.353,EQ-GR-108,0.4024,medium
BMAN-00945,817.1,172.7,0.8612,1.228,0.448,EQ-GR-110,0.1644,low
BMAN-00946,829.7,196.3,0.7685,0.77,0.103,EQ-GR-113,0.2143,low
BMAN-00947,828.9,177.9,0.8072,3.693,0.243,EQ-GR-070,0.2634,medium
BMAN-00948,855.4,185.4,0.5513,2.947,0.507,EQ-GR-081,0.4037,medium
BMAN-00949,818.9,174.9,0.7836,6.909,0.423,EQ-GR-082,0.4078,medium
BMAN-00950,833.1,158.3,0.8071,1.853,0.439,EQ-GR-006,0.2614,medium
BMAN-00951,812.5,184.5,0.8126,2.094,0.366,EQ-GR-045,0.2606,medium
BMAN-00952,806.4,188.4,0.7973,1.081,0.145,EQ-GR-031,0.2534,medium
BMAN-00953,861.7,158.7,0.5366,2.081,0.324,EQ-GR-059,0.409,medium
BMAN-00954,865.8,185.1,0.8225,0.541,0.107,EQ-GR-112,0.2299,low
BMAN-00955,830.9,179.2,0.702,4.191,0.066,EQ-GR-066,0.1973,low
BMAN-00956,822.3,186.7,0.8331,3.482,0.05,EQ-GR-066,0.2238,low
BMAN-00957,831.8,163.4,0.4748,4.396,0.82,EQ-GR-107,0.4934,medium
BMAN-00958,818.0,186.0,0.8216,3.374,0.242,EQ-GR-076,0.2939,medium
BMAN-00959,817.3,171.5,0.4672,8.046,0.232,EQ-GR-091,0.4353,medium
BMAN-00960,851.5,202.6,0.6732,7.021,0.48,EQ-GR-097,0.5731,high
BMAN-00961,831.4,170.2,0.7664,3.433,0.331,EQ-GR-004,0.1892,low
BMAN-00962,810.4,176.3,0.8472,2.882,0.055,EQ-GR-008,0.2612,medium
BMAN-00963,836.7,199.0,0.498,8.273,0.354,EQ-GR-077,0.4809,medium
BMAN-00964,836.5,176.9,0.6725,1.717,0.415,EQ-GR-088,0.2436,low
BMAN-00965,840.7,171.3,0.8772,1.153,0.156,EQ-GR-087,0.0566,low
BMAN-00966,851.3,170.5,0.8518,2.622,0.337,EQ-GR-069,0.2621,medium
BMAN-00967,828.2,188.0,0.9318,1.182,0.28,EQ-GR-034,0.2771,medium
BMAN-00968,840.8,177.0,0.5335,1.746,0.097,EQ-GR-012,0.165,low
BMAN-00969,843.8,192.9,0.8171,2.544,0.055,EQ-GR-083,0.2297,low
BMAN-00970,832.0,147.9,0.9121,1.958,0.05,EQ-GR-026,0.189,low
BMAN-00971,830.3,170.1,0.7321,1.141,0.743,EQ-GR-015,0.3112,medium
BMAN-00972,819.6,195.4,0.8515,2.569,0.184,EQ-GR-024,0.3006,medium
BMAN-00973,810.0,179.2,0.7571,0.585,0.084,EQ-GR-114,0.1494,low
BMAN-00974,820.2,161.4,0.4449,0.2,0.167,EQ-GR-055,0.2644,medium
BMAN-00975,839.5,169.4,0.6149,1.656,0.827,EQ-GR-038,0.3639,medium
BMAN-00976,837.7,181.3,0.8664,1.357,0.162,EQ-GR-112,0.1616,low
BMAN-00977,827.4,170.4,0.6451,0.424,0.539,EQ-GR-029,0.2755,medium
BMAN-00978,823.2,175.6,0.843,1.062,0.562,EQ-GR-059,0.1878,low
BMAN-00979,826.8,183.2,0.6575,0.646,0.551,EQ-GR-041,0.2762,medium
BMAN-00980,838.2,214.3,0.7704,0.99,0.291,EQ-GR-112,0.3052,medium
BMAN-00981,852.5,183.5,0.7562,0.928,0.282,EQ-GR-036,0.2841,medium
BMAN-00982,833.7,174.5,0.4096,4.453,0.471,EQ-GR-110,0.31,medium
BMAN-00983,864.1,158.6,0.8402,7.267,0.344,EQ-GR-010,0.5059,high
BMAN-00984,813.6,208.5,0.8295,1.544,0.23,EQ-GR-023,0.2886,medium
BMAN-00985,808.6,167.6,0.5858,3.754,0.421,EQ-GR-036,0.4536,medium
BMAN-00986,820.4,170.5,0.6158,1.077,0.418,EQ-GR-107,0.3434,medium
BMAN-00987,875.6,184.8,0.9236,1.085,0.336,EQ-GR-052,0.3344,medium
BMAN-00988,885.7,202.5,0.5886,2.815,0.242,EQ-GR-055,0.4791,medium
BMAN-00989,843.9,166.3,0.6052,2.426,0.923,EQ-GR-067,0.4072,medium
BMAN-00990,814.4,182.1,0.8703,1.51,0.104,EQ-GR-042,0.2211,low
BMAN-00991,835.5,183.2,0.4921,1.501,0.126,EQ-GR-077,0.1976,low
BMAN-00992,835.9,162.4,0.7918,3.077,0.191,EQ-GR-036,0.2177,low
BMAN-00993,845.2,189.9,0.8109,1.68,0.619,EQ-GR-044,0.286,medium
BMAN-00994,804.9,159.3,0.7173,2.532,0.226,EQ-GR-071,0.3769,medium
BMAN-00995,859.3,172.2,0.8585,2.47,0.254,EQ-GR-086,0.2339,low
BMAN-00996,774.2,165.9,0.6886,0.883,0.947,EQ-GR-093,0.5519,high
BMAN-00997,839.5,189.3,0.6492,1.466,0.321,EQ-GR-068,0.1989,low
BMAN-00998,820.0,162.2,0.6894,5.96,0.352,EQ-GR-086,0.4447,medium
BMAN-00999,817.9,165.9,0.8663,1.343,0.561,EQ-GR-029,0.2711,medium
BMAN-01000,846.3,161.8,0.5791,1.808,0.546,EQ-GR-063,0.273,medium
BMAN-01001,813.3,191.5,0.5124,2.118,0.246,EQ-GR-037,0.3633,medium
BMAN-01002,847.4,192.0,0.5866,2.505,0.284,EQ-GR-061,0.3516,medium
BMAN-01003,844.0,209.7,0.7604,3.096,0.21,EQ-GR-023,0.3614,medium
BMAN-01004,829.0,165.8,0.7847,0.2,0.431,EQ-GR-081,0.1919,low
BMAN-01005,872.9,189.4,0.8201,3.182,0.285,EQ-GR-050,0.3803,medium
BMAN-01006,823.3,171.2,0.7557,1.542,0.48,EQ-GR-049,0.2402,low
BMAN-01007,793.9,193.4,0.3733,1.31,0.632,EQ-GR-023,0.5698,high
BMAN-01008,810.8,136.0,0.923,0.961,0.138,EQ-GR-118,0.2643,medium
BMAN-01009,838.2,175.8,0.6594,0.426,0.36,EQ-GR-094,0.1427,low
BMAN-01010,848.6,178.3,0.62,2.366,0.476,EQ-GR-097,0.3331,medium
BMAN-01011,863.0,196.4,0.7524,4.937,0.308,EQ-GR-055,0.401,medium
BMAN-01012,822.6,147.8,0.5888,0.753,0.482,EQ-GR-003,0.3333,medium
BMAN-01013,837.0,157.7,0.5691,4.456,0.056,EQ-GR-043,0.3508,medium
BMAN-01014,867.5,159.9,0.7756,1.471,0.09,EQ-GR-061,0.2865,medium
BMAN-01015,828.9,199.2,0.6074,6.772,0.28,EQ-GR-045,0.4673,medium
BMAN-01016,860.2,172.9,0.3013,1.563,0.135,EQ-GR-053,0.3618,medium
BMAN-01017,820.3,168.1,0.9252,0.759,0.467,EQ-GR-073,0.1861,low
BMAN-01018,866.1,189.8,0.6986,1.403,0.543,EQ-GR-061,0.3915,medium
BMAN-01019,857.7,163.8,0.9527,1.147,0.142,EQ-GR-074,0.1923,low
BMAN-01020,802.0,176.4,0.7252,1.868,0.243,EQ-GR-046,0.3139,medium
BMAN-01021,851.3,174.0,0.862,1.455,0.407,EQ-GR-044,0.2431,low
BMAN-01022,817.7,175.3,0.9263,1.022,0.125,EQ-GR-002,0.099,low
BMAN-01023,804.1,187.8,0.7891,1.593,0.249,EQ-GR-095,0.3663,medium
BMAN-01024,830.7,122.5,0.6187,3.11,0.232,EQ-GR-080,0.3776,medium
BMAN-01025,900.0,197.4,0.7126,4.251,0.178,EQ-GR-066,0.501,high
BMAN-01026,843.3,188.6,0.5365,1.722,0.304,EQ-GR-066,0.3259,medium
BMAN-01027,834.3,171.6,0.5156,1.016,0.05,EQ-GR-014,0.1578,low
BMAN-01028,812.2,181.1,0.4025,0.23,0.503,EQ-GR-084,0.3685,medium
BMAN-01029,789.4,178.6,0.6855,2.612,0.295,EQ-GR-082,0.4648,medium
BMAN-01030,823.6,201.1,0.7574,5.996,0.306,EQ-GR-067,0.4633,medium
BMAN-01031,811.2,181.7,0.8555,1.743,0.513,EQ-GR-005,0.2934,medium
BMAN-01032,841.2,184.0,0.8031,0.373,0.236,EQ-GR-008,0.0821,low
BMAN-01033,883.8,174.0,0.7351,0.721,0.39,EQ-GR-009,0.3674,medium
BMAN-01034,833.6,167.5,0.7481,1.863,0.139,EQ-GR-063,0.1316,low
BMAN-01035,850.7,176.1,0.9609,2.285,0.833,EQ-GR-097,0.3129,medium
BMAN-01036,837.4,172.2,0.9661,1.279,0.348,EQ-GR-085,0.1743,low
BMAN-01037,844.1,167.6,0.9112,1.677,0.062,EQ-GR-056,0.1267,low
BMAN-01038,828.0,150.5,0.85,3.837,0.892,EQ-GR-102,0.4028,medium
BMAN-01039,820.3,184.4,0.8311,3.933,0.488,EQ-GR-088,0.2817,medium
BMAN-01040,853.6,170.0,0.5885,0.405,0.322,EQ-GR-087,0.2901,medium
BMAN-01041,826.1,155.9,0.7683,2.791,0.442,EQ-GR-071,0.3201,medium
BMAN-01042,835.1,161.9,0.8259,1.666,0.29,EQ-GR-086,0.1632,low
BMAN-01043,851.8,156.1,0.5368,0.476,0.086,EQ-GR-061,0.3011,medium
BMAN-01044,819.4,167.4,0.7107,0.607,0.076,EQ-GR-077,0.2423,low
BMAN-01045,816.7,178.1,0.7921,1.159,0.471,EQ-GR-010,0.2889,medium
BMAN-01046,813.7,175.3,0.5539,1.073,0.378,EQ-GR-024,0.3144,medium
BMAN-01047,844.5,193.8,0.6504,0.599,0.15,EQ-GR-119,0.2278,low
BMAN-01048,832.6,180.1,0.7072,1.862,0.295,EQ-GR-012,0.1907,low
BMAN-01049,852.5,173.8,0.6841,2.496,0.206,EQ-GR-070,0.1822,low
BMAN-01050,852.5,173.2,0.697,2.694,0.499,EQ-GR-016,0.3201,medium
BMAN-01051,811.9,194.4,0.3966,2.063,0.118,EQ-GR-056,0.3896,medium
BMAN-01052,858.4,158.6,0.573,0.786,0.45,EQ-GR-072,0.3309,medium
BMAN-01053,848.3,172.6,0.7614,2.445,0.388,EQ-GR-108,0.2328,low
BMAN-01054,812.5,150.6,0.7076,1.334,0.881,EQ-GR-083,0.4424,medium
BMAN-01055,847.2,175.7,0.6401,3.647,0.172,EQ-GR-048,0.3369,medium
BMAN-01056,803.5,155.9,0.9255,1.445,0.398,EQ-GR-105,0.309,medium
BMAN-01057,851.3,164.8,0.7787,1.964,0.48,EQ-GR-031,0.2804,medium
BMAN-01058,847.8,167.2,0.7667,2.435,0.245,EQ-GR-047,0.1759,low
BMAN-01059,813.4,168.7,0.6789,2.923,0.143,EQ-GR-080,0.2694,medium
BMAN-01060,839.2,169.9,0.7868,2.398,0.436,EQ-GR-011,0.269,medium
BMAN-01061,863.3,186.2,0.7616,5.818,0.384,EQ-GR-074,0.381,medium
BMAN-01062,868.9,172.9,0.8836,4.243,0.594,EQ-GR-104,0.4131,medium
BMAN-01063,848.1,166.6,0.7262,0.564,0.162,EQ-GR-033,0.1719,low
BMAN-01064,842.9,168.5,0.7825,2.3,0.745,EQ-GR-088,0.2747,medium
BMAN-01065,833.3,163.9,0.502,6.026,0.703,EQ-GR-002,0.5147,high
BMAN-01066,863.0,178.5,0.4751,2.187,0.152,EQ-GR-077,0.33,medium
BMAN-01067,859.2,150.3,0.8938,1.486,0.664,EQ-GR-018,0.373,medium
BMAN-01068,855.6,163.8,0.7288,1.229,0.275,EQ-GR-023,0.2733,medium
BMAN-01069,853.5,173.8,0.7149,5.78,0.238,EQ-GR-092,0.3131,medium
BMAN-01070,836.3,193.8,0.7432,1.54,0.05,EQ-GR-083,0.1797,low
BMAN-01071,820.3,205.8,0.869,3.305,0.244,EQ-GR-115,0.331,medium
BMAN-01072,800.3,150.3,0.8245,0.69,0.52,EQ-GR-118,0.3654,medium
BMAN-01073,822.5,173.7,0.7746,2.26,0.231,EQ-GR-064,0.1779,low
BMAN-01074,836.2,191.7,0.5984,1.432,0.085,EQ-GR-113,0.2323,low
BMAN-01075,860.7,180.4,0.5399,0.358,0.202,EQ-GR-071,0.2449,low
BMAN-01076,807.7,197.0,0.6094,6.404,0.294,EQ-GR-096,0.477,medium
BMAN-01077,816.9,141.7,0.9484,1.283,0.149,EQ-GR-021,0.2039,low
BMAN-01078,845.9,162.0,0.8235,1.616,0.485,EQ-GR-031,0.2678,medium
BMAN-01079,818.4,157.6,0.6634,1.342,0.265,EQ-GR-028,0.2632,medium
BMAN-01080,846.8,172.6,0.909,2.575,0.154,EQ-GR-079,0.1493,low
BMAN-01081,844.4,184.4,0.7757,1.673,0.363,EQ-GR-059,0.2662,medium
BMAN-01082,828.0,167.0,0.8231,2.376,0.389,EQ-GR-061,0.281,medium
BMAN-01083,804.0,176.2,0.4849,4.625,0.294,EQ-GR-004,0.4555,medium
BMAN-01084,877.6,189.0,0.675,0.571,0.096,EQ-GR-066,0.3294,medium
BMAN-01085,852.3,152.0,0.7614,0.757,0.426,EQ-GR-118,0.2769,medium
BMAN-01086,817.0,177.6,0.8628,3.282,0.331,EQ-GR-073,0.2431,low
BMAN-01087,821.6,183.7,0.4891,2.177,0.175,EQ-GR-076,0.3329,medium
BMAN-01088,853.7,208.2,0.7915,2.736,0.515,EQ-GR-054,0.3802,medium
BMAN-01089,839.9,150.0,0.904,1.91,0.168,EQ-GR-039,0.2352,low
BMAN-01090,836.7,181.7,0.8226,0.775,0.05,EQ-GR-067,0.1392,low
BMAN-01091,834.3,181.0,0.7911,4.154,0.097,EQ-GR-081,0.2039,low
BMAN-01092,837.0,169.3,0.8523,1.195,0.417,EQ-GR-103,0.2108,low
BMAN-01093,830.6,177.6,0.8478,2.308,0.447,EQ-GR-048,0.2354,low
BMAN-01094,827.7,159.9,0.624,2.323,0.768,EQ-GR-007,0.3447,medium
BMAN-01095,830.5,178.5,0.7271,1.348,0.094,EQ-GR-118,0.1374,low
BMAN-01096,836.3,176.1,0.7832,0.575,0.216,EQ-GR-080,0.0712,low
BMAN-01097,853.1,170.7,0.8324,1.17,0.531,EQ-GR-020,0.2549,medium
BMAN-01098,889.1,209.0,0.51,2.322,0.44,EQ-GR-092,0.5969,high
BMAN-01099,858.6,159.4,0.9457,4.189,0.256,EQ-GR-092,0.3109,medium
BMAN-01100,823.3,182.9,0.9264,4.141,0.224,EQ-GR-094,0.2545,medium
BMAN-01101,883.8,186.4,0.3,1.795,0.102,EQ-GR-086,0.3913,medium
BMAN-01102,837.9,220.6,0.6769,0.351,0.262,EQ-GR-056,0.3066,medium
BMAN-01103,897.4,191.3,0.822,4.107,0.147,EQ-GR-034,0.4951,medium
BMAN-01104,827.7,181.5,0.8129,2.87,0.134,EQ-GR-113,0.2066,low
BMAN-01105,814.2,175.1,0.6235,4.742,0.406,EQ-GR-065,0.4245,medium
BMAN-01106,823.1,154.5,0.4921,1.782,0.332,EQ-GR-014,0.3078,medium
BMAN-01107,849.8,154.1,0.3,1.141,0.26,EQ-GR-078,0.3846,medium
BMAN-01108,874.6,165.0,0.5395,2.942,0.311,EQ-GR-086,0.4025,medium
BMAN-01109,829.0,145.3,0.4751,1.251,0.512,EQ-GR-077,0.391,medium
BMAN-01110,801.7,153.0,0.5235,0.663,0.538,EQ-GR-004,0.4287,medium
BMAN-01111,860.5,170.4,0.5763,5.753,0.226,EQ-GR-065,0.3871,medium
BMAN-01112,850.2,172.7,0.7874,6.925,0.301,EQ-GR-052,0.3678,medium
BMAN-01113,841.0,139.6,0.7119,2.065,0.832,EQ-GR-097,0.4172,medium
BMAN-01114,837.1,173.5,0.7087,1.195,0.337,EQ-GR-068,0.2352,low
BMAN-01115,841.4,173.7,0.6679,1.497,0.244,EQ-GR-070,0.1562,low
BMAN-01116,833.1,181.6,0.8059,2.509,0.064,EQ-GR-109,0.1537,low
BMAN-01117,868.9,167.7,0.6975,1.518,0.283,EQ-GR-005,0.3383,medium
BMAN-01118,837.5,200.9,0.7861,1.509,0.416,EQ-GR-014,0.2705,medium
BMAN-01119,878.2,151.6,0.9056,2.07,0.161,EQ-GR-068,0.2836,medium
BMAN-01120,859.2,173.7,0.8134,0.569,0.41,EQ-GR-062,0.1999,low
BMAN-01121,851.4,195.4,0.7926,3.846,1.25,EQ-GR-113,0.5161,high
BMAN-01122,827.6,168.3,0.8883,2.495,0.267,EQ-GR-098,0.1715,low
BMAN-01123,808.3,172.0,0.8894,1.594,0.051,EQ-GR-092,0.1979,low
BMAN-01124,825.5,178.5,0.8938,3.439,0.221,EQ-GR-085,0.1489,low
BMAN-01125,825.7,166.1,0.5782,3.317,0.069,EQ-GR-007,0.2556,medium
BMAN-01126,815.0,162.5,0.5052,9.0,0.171,EQ-GR-100,0.5196,high
BMAN-01127,838.3,198.5,0.3025,3.55,0.323,EQ-GR-088,0.4118,medium
BMAN-01128,858.2,146.9,0.477,3.951,0.37,EQ-GR-055,0.4637,medium
BMAN-01129,803.8,184.3,0.5559,1.956,0.314,EQ-GR-041,0.4578,medium
BMAN-01130,826.2,167.9,0.9749,1.798,0.17,EQ-GR-025,0.1128,low
BMAN-01131,822.7,197.8,0.8819,0.375,0.151,EQ-GR-088,0.1804,low
BMAN-01132,855.1,228.2,0.749,1.727,0.202,EQ-GR-030,0.3256,medium
BMAN-01133,782.9,134.9,0.5731,0.889,0.279,EQ-GR-089,0.4687,medium
BMAN-01134,825.7,191.2,0.7842,4.056,0.36,EQ-GR-067,0.2936,medium
BMAN-01135,827.8,169.7,0.9316,0.971,0.242,EQ-GR-073,0.1619,low
BMAN-01136,863.5,162.3,0.7579,2.137,0.464,EQ-GR-066,0.4458,medium
BMAN-01137,887.5,184.2,0.9288,1.027,0.164,EQ-GR-077,0.384,medium
BMAN-01138,834.4,167.0,0.3867,2.388,0.261,EQ-GR-022,0.2835,medium
BMAN-01139,860.1,162.2,0.8934,3.129,0.144,EQ-GR-069,0.3102,medium
BMAN-01140,791.5,188.6,0.718,9.0,0.155,EQ-GR-050,0.525,high
BMAN-01141,847.3,175.6,0.9834,1.461,0.811,EQ-GR-031,0.2136,low
BMAN-01142,815.1,165.4,0.7525,2.435,0.082,EQ-GR-008,0.2421,low
BMAN-01143,851.7,164.2,0.7061,3.39,0.211,EQ-GR-100,0.2953,medium
BMAN-01144,850.1,158.0,0.3124,1.362,0.142,EQ-GR-054,0.3869,medium
BMAN-01145,835.8,193.3,0.8427,4.161,0.528,EQ-GR-081,0.3466,medium
BMAN-01146,847.0,170.5,0.6072,0.2,0.258,EQ-GR-094,0.2307,low
BMAN-01147,888.7,180.4,0.4727,2.499,0.327,EQ-GR-085,0.4532,medium
BMAN-01148,845.8,166.2,0.6786,1.798,0.262,EQ-GR-095,0.2523,medium
BMAN-01149,847.8,183.0,0.7231,0.338,0.481,EQ-GR-065,0.2286,low
BMAN-01150,804.1,120.0,0.7467,3.799,0.203,EQ-GR-008,0.4816,medium
BMAN-01151,875.6,180.6,0.834,4.741,0.086,EQ-GR-077,0.3803,medium
BMAN-01152,818.5,159.2,0.3461,2.538,0.05,EQ-GR-106,0.3156,medium
BMAN-01153,818.5,180.1,0.5327,4.91,0.388,EQ-GR-084,0.4365,medium
BMAN-01154,843.9,175.6,0.7954,1.513,0.435,EQ-GR-042,0.2109,low
BMAN-01155,845.9,178.8,0.8554,0.46,0.058,EQ-GR-066,0.1293,low
BMAN-01156,861.4,183.5,0.5515,1.765,0.122,EQ-GR-005,0.3587,medium
BMAN-01157,832.7,156.7,0.7769,3.983,0.534,EQ-GR-024,0.313,medium
BMAN-01158,833.7,169.2,0.7516,2.033,0.102,EQ-GR-102,0.238,low
BMAN-01159,839.0,203.6,0.3033,0.854,0.156,EQ-GR-110,0.3335,medium
BMAN-01160,840.4,165.5,0.8794,2.719,0.11,EQ-GR-034,0.1458,low
BMAN-01161,840.3,172.1,0.798,3.47,0.154,EQ-GR-027,0.1544,low
BMAN-01162,849.6,168.4,0.6885,2.79,0.518,EQ-GR-098,0.3339,medium
BMAN-01163,882.1,194.8,0.5569,2.661,0.464,EQ-GR-059,0.5495,high
BMAN-01164,806.8,170.0,0.3283,0.46,0.228,EQ-GR-064,0.3485,medium
BMAN-01165,819.1,213.5,0.7355,0.76,0.065,EQ-GR-059,0.2556,medium
BMAN-01166,834.0,184.9,0.8729,0.583,0.345,EQ-GR-089,0.1766,low
BMAN-01167,833.3,178.4,0.877,7.274,0.134,EQ-GR-095,0.2852,medium
BMAN-01168,806.1,156.0,0.8089,2.072,0.056,EQ-GR-001,0.3078,medium
BMAN-01169,847.8,167.8,0.8447,2.065,0.066,EQ-GR-077,0.234,low
BMAN-01170,837.2,154.8,0.8882,0.975,0.5,EQ-GR-118,0.1577,low
BMAN-01171,822.7,177.2,0.3357,2.625,0.157,EQ-GR-087,0.3349,medium
BMAN-01172,826.9,188.4,0.7684,2.835,0.728,EQ-GR-054,0.3334,medium
BMAN-01173,860.5,148.9,0.5837,2.72,0.357,EQ-GR-056,0.3641,medium
BMAN-01174,831.8,168.4,0.6172,3.163,0.618,EQ-GR-092,0.3021,medium
BMAN-01175,841.3,189.2,0.9162,1.025,0.074,EQ-GR-067,0.0913,low
BMAN-01176,790.6,153.5,0.613,2.457,0.09,EQ-GR-031,0.4176,medium
BMAN-01177,810.3,182.2,0.734,1.581,0.198,EQ-GR-119,0.229,low
BMAN-01178,840.5,171.7,0.5678,1.235,0.28,EQ-GR-087,0.2365,low
BMAN-01179,812.0,166.1,0.7461,1.267,0.202,EQ-GR-101,0.3135,medium
BMAN-01180,832.2,156.7,0.9236,2.826,0.128,EQ-GR-064,0.1464,low
BMAN-01181,856.7,164.5,0.6225,3.269,0.05,EQ-GR-042,0.3065,medium
BMAN-01182,826.1,214.5,0.589,2.358,0.28,EQ-GR-086,0.355,medium
BMAN-01183,847.8,177.3,0.6302,5.052,0.394,EQ-GR-097,0.3693,medium
BMAN-01184,840.7,163.8,0.6788,1.677,0.125,EQ-GR-007,0.1521,low
BMAN-01185,875.4,190.9,0.5739,0.342,0.186,EQ-GR-011,0.3542,medium
BMAN-01186,844.9,200.6,0.9065,1.039,0.283,EQ-GR-110,0.2265,low
BMAN-01187,862.9,183.1,0.5857,4.108,0.368,EQ-GR-052,0.4417,medium
BMAN-01188,806.9,168.3,0.5299,0.468,0.229,EQ-GR-061,0.2887,medium
BMAN-01189,852.7,164.6,0.4261,3.045,0.098,EQ-GR-050,0.4014,medium
BMAN-01190,838.8,163.5,0.8208,2.523,0.651,EQ-GR-006,0.2857,medium
BMAN-01191,842.5,203.5,0.6406,1.864,0.661,EQ-GR-079,0.39,medium
BMAN-01192,810.9,146.3,0.7377,5.01,0.397,EQ-GR-048,0.4522,medium
BMAN-01193,802.7,205.8,0.6339,3.258,0.11,EQ-GR-037,0.4494,medium
BMAN-01194,852.2,183.0,0.571,0.655,0.392,EQ-GR-001,0.2883,medium
BMAN-01195,822.5,154.0,0.8894,3.244,0.197,EQ-GR-110,0.2734,medium
BMAN-01196,857.7,176.2,0.6348,4.246,0.1,EQ-GR-023,0.2752,medium
BMAN-01197,850.2,177.2,0.7976,3.701,0.523,EQ-GR-029,0.3119,medium
BMAN-01198,831.2,166.0,0.8564,3.183,0.479,EQ-GR-097,0.2387,low
BMAN-01199,824.6,152.1,0.5848,1.756,0.168,EQ-GR-009,0.2901,medium
BMAN-01200,850.9,163.1,0.5881,3.954,0.081,EQ-GR-033,0.3763,medium
